Timestamp,Frame,Count
2025-03-27 19:29:27,0,28
2025-03-27 19:29:30,5,28
2025-03-27 19:29:31,10,29
2025-03-27 19:29:31,15,29
2025-03-27 19:29:32,20,30
2025-03-27 19:29:32,25,28
2025-03-27 19:29:32,30,25
2025-03-27 19:29:32,35,30
2025-03-27 19:29:36,40,31
2025-03-27 19:29:36,45,30
2025-03-27 19:29:36,50,27
2025-03-27 19:29:37,55,27
2025-03-27 19:29:37,60,27
2025-03-27 19:29:37,65,28
2025-03-27 19:29:37,70,27
2025-03-27 19:29:38,75,29
2025-03-27 19:29:38,80,29
2025-03-27 19:29:38,85,26
2025-03-27 19:29:38,90,28
2025-03-27 19:29:39,95,28
2025-03-27 19:29:39,100,26
2025-03-27 19:29:39,105,29
2025-03-27 19:29:39,110,25
2025-03-27 19:29:40,115,27
2025-03-27 19:29:43,120,30
2025-03-27 19:29:43,125,28
2025-03-27 19:29:43,130,25
2025-03-27 19:29:43,135,22
2025-03-27 19:29:44,140,24
2025-03-27 19:29:44,145,25
2025-03-27 19:29:44,150,26
2025-03-27 19:29:47,155,26
2025-03-27 19:29:48,160,26
2025-03-27 19:29:48,165,27
2025-03-27 19:29:48,170,27
2025-03-27 19:29:48,175,27
2025-03-27 19:29:48,180,27
2025-03-27 19:29:49,185,28
2025-03-27 19:29:49,190,29
2025-03-27 19:29:49,195,28
2025-03-27 19:29:49,200,29
2025-03-27 19:29:50,205,28
2025-03-27 19:29:50,210,30
2025-03-27 19:29:50,215,27
2025-03-27 19:29:50,220,25
2025-03-27 19:29:50,225,27
2025-03-27 19:29:54,230,27
2025-03-27 19:29:54,235,28
2025-03-27 19:29:55,240,27
2025-03-27 19:29:55,245,28
2025-03-27 19:29:55,250,26
2025-03-27 19:29:55,255,29
2025-03-27 19:29:56,260,29
2025-03-27 19:29:56,265,29
2025-03-27 19:29:56,270,28
2025-03-27 19:29:56,275,26
2025-03-27 19:29:57,280,27
2025-03-27 19:29:57,285,30
2025-03-27 19:29:57,290,31
2025-03-27 19:29:57,295,34
2025-03-27 19:29:58,300,29
2025-03-27 19:29:58,305,29
2025-03-27 19:29:58,310,28
2025-03-27 19:29:59,315,30
2025-03-27 19:29:59,320,27
2025-03-27 19:29:59,325,28
2025-03-27 19:29:59,330,29
2025-03-27 19:29:59,335,30
2025-03-27 19:30:00,340,30
2025-03-27 19:30:00,345,30
2025-03-27 19:30:00,350,28
2025-03-27 19:30:00,355,28
2025-03-27 19:30:01,360,30
2025-03-27 19:30:01,365,27
2025-03-27 19:30:01,370,26
2025-03-27 19:30:01,375,28
2025-03-27 19:30:02,380,31
2025-03-27 19:30:02,385,30
2025-03-27 19:30:02,390,28
2025-03-27 19:30:02,395,28
2025-03-27 19:30:03,400,29
2025-03-27 19:30:03,405,27
2025-03-27 19:30:03,410,28
